stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
999999,12839,1948,01,01,76.7,13,69.6,13,1016.0,13,1015.6,13,11.2,13,14.2,13,22.9,999.9,80.1,*,69.1,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,01,02,73.3,24,69.9,24,1014.2,24,1013.8,24,9.3,24,8.6,24,13.0,999.9,80.1,*,71.1,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,01,03,67.1,24,59.6,24,1016.9,24,1016.5,24,9.9,24,6.3,24,10.1,999.9,72.0,*,62.1,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,01,04,64.1,24,56.2,24,1018.2,24,1017.8,24,9.8,24,5.8,24,12.0,999.9,72.0,*,57.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,01,05,60.7,24,46.8,24,1019.1,24,1018.7,24,12.0,24,8.0,24,14.0,999.9,66.0,*,54.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,01,06,58.0,24,47.6,24,1020.8,24,1020.4,24,10.4,24,6.1,24,8.9,999.9,69.1,*,48.9,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,01,07,61.5,24,50.8,24,1021.4,24,1021.0,24,10.1,24,6.3,24,10.1,999.9,73.9,*,52.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,01,08,64.8,24,53.1,24,1021.2,24,1020.8,24,9.6,24,7.0,24,12.0,999.9,75.9,*,57.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,01,09,64.4,24,56.8,24,1020.4,24,1019.9,24,9.9,24,5.3,24,8.9,999.9,77.0,*,54.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,01,10,66.0,24,57.6,24,1019.5,24,1019.1,24,8.9,24,6.6,24,12.0,999.9,75.9,*,59.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,01,11,65.1,24,59.1,24,1020.6,24,1020.2,24,7.6,24,10.4,24,18.1,999.9,71.1,*,60.1,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,01,12,70.3,24,62.2,24,1022.3,24,1021.8,24,9.1,24,16.9,24,22.9,999.9,75.0,*,66.0,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,01,13,72.2,24,63.2,24,1017.4,24,1017.0,24,9.2,24,17.6,24,22.0,999.9,77.0,*,69.1,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,01,14,60.3,24,52.2,24,1016.7,24,1016.4,24,9.4,24,14.7,24,21.0,999.9,71.1,*,48.0,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,01,15,43.5,24,28.5,24,1028.2,24,1027.8,24,10.4,24,13.0,24,17.1,999.9,52.0,*,34.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,01,16,51.4,24,43.6,24,1025.2,24,1024.8,24,9.7,24,9.2,24,14.0,999.9,68.0,*,42.1,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,01,17,66.7,24,60.6,24,1018.9,24,1018.5,24,8.5,24,8.8,24,17.1,999.9,73.9,*,59.0,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,01,18,64.9,24,61.4,24,1016.5,24,1016.1,24,10.0,24,10.2,24,15.9,999.9,69.1,*,57.9,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,01,19,60.4,24,54.3,24,1021.8,24,1021.5,24,7.4,24,7.6,24,13.0,999.9,77.0,*,53.1,*,0.0,I,999.9,1,0,0,0,0,0
999999,12839,1948,01,20,71.6,24,65.7,24,1021.0,24,1020.6,24,8.9,24,11.4,24,19.0,999.9,75.9,*,64.9,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,01,21,72.4,24,68.5,24,1014.7,24,1014.3,24,9.6,24,11.8,24,19.0,999.9,78.1,*,70.0,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,01,22,66.0,24,59.4,24,1011.7,24,1011.2,24,9.7,24,5.9,24,13.0,999.9,72.0,*,57.9,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,01,23,65.3,24,61.8,24,1011.6,24,1011.3,24,9.1,24,5.1,24,8.9,999.9,72.0,*,60.1,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,01,24,74.0,24,69.4,24,1011.7,24,1011.4,24,9.9,24,13.4,24,21.0,999.9,81.0,*,70.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,01,25,70.7,24,66.1,24,1018.4,24,1018.0,24,9.1,24,4.3,24,8.9,999.9,82.9,*,63.0,*,0.0,I,999.9,1,0,0,0,0,0
999999,12839,1948,01,26,69.8,24,66.1,24,1022.0,24,1021.6,24,5.1,24,7.8,24,10.1,999.9,80.1,*,63.0,*,99.99,,999.9,1,1,0,0,0,0
999999,12839,1948,01,27,74.0,24,68.0,24,1020.3,24,1019.9,24,10.3,24,8.2,24,14.0,999.9,79.0,*,69.1,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,01,28,71.0,24,65.7,24,1018.9,24,1018.5,24,9.1,24,2.9,24,10.1,999.9,79.0,*,64.0,*,0.0,I,999.9,1,0,0,0,0,0
